#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
15500,30.999999999993697,-28535.502981583995,13619.559606327393,-14915.943375256602,292.0667751623033,41.93986777763607,1.1990365174516764,123
16000,31.999999999993143,-28402.484880547832,13476.959707235128,-14925.525173312704,289.00876933317227,41.93986777763607,1.1990365174516764,123
16500,32.999999999994365,-28311.646370408125,13396.467269863666,-14915.17910054446,287.28263667634866,41.93986777763607,1.1990365174516764,123
17000,33.99999999999559,-28323.506123774285,13461.194090902718,-14862.312032871567,288.6706811090483,41.93986777763607,1.1990365174516764,123
17500,34.99999999999681,-28361.094534611373,13667.491612670856,-14693.602921940517,293.0946605656823,41.93986777763607,1.1990365174516764,123
18000,35.99999999999803,-28018.162089432342,13378.925836030498,-14639.236253401845,286.9064666562112,41.93986777763607,1.1990365174516764,123
18500,36.999999999999254,-28138.52093111873,13498.174088230931,-14640.346842887797,289.46370444294115,41.93986777763607,1.1990365174516764,123
19000,38.000000000000476,-28273.966817730237,13519.129861503394,-14754.836956226844,289.913093798958,41.93986777763607,1.1990365174516764,123
19500,39.0000000000017,-28235.874822757898,13605.328968941147,-14630.545853816751,291.7616040341581,41.93986777763607,1.1990365174516764,123
20000,40.00000000000292,-27966.65298300398,13289.30675013005,-14677.34623287393,284.98461615821293,41.93986777763607,1.1990365174516764,123
20500,41.00000000000414,-28080.89231382197,13521.579153378338,-14559.313160443631,289.965618021475,41.93986777763607,1.1990365174516764,123
21000,42.000000000005365,-28163.008830108833,13596.679033930752,-14566.32979617808,291.57610915055875,41.93986777763607,1.1990365174516764,123
21500,43.00000000000659,-28030.950026136285,13466.489628401436,-14564.460397734849,288.784242090806,41.93986777763607,1.1990365174516764,123
22000,44.00000000000781,-28128.639738785372,13636.52426870509,-14492.115470080282,292.4305765167957,41.93986777763607,1.1990365174516764,124
22500,45.00000000000903,-28020.223191719182,13538.949467478837,-14481.273724240345,290.3381184377536,41.93986777763607,1.1990365174516764,124
23000,46.00000000001025,-27901.188617198583,13560.116307786942,-14341.07230941164,290.79203405381304,41.93986777763607,1.1990365174516764,124
23500,47.000000000011475,-28214.63524789954,13782.798357044645,-14431.836890854895,295.5673740716367,41.93986777763607,1.1990365174516764,124
24000,48.0000000000127,-28403.580248125778,13736.594121308355,-14666.986126817423,294.5765401151506,41.93986777763607,1.1990365174516764,124
24500,49.00000000001392,-28292.844344472185,13531.895466638012,-14760.948877834173,290.1868478139506,41.93986777763607,1.1990365174516764,124
25000,50.00000000001514,-28335.71597040769,13672.01269347287,-14663.70327693482,293.1916135897346,41.93986777763607,1.1990365174516764,124
25500,51.000000000016364,-28017.2581735324,13306.866257215928,-14710.39191631647,285.36117375304366,41.93986777763607,1.1990365174516764,124
26000,52.000000000017586,-28178.955608308723,13493.884035493127,-14685.071572815596,289.3717057363292,41.93986777763607,1.1990365174516764,124
26500,53.00000000001881,-28131.932970452865,13430.544066370672,-14701.388904082192,288.01340186636554,41.93986777763607,1.1990365174516764,124
