time_ps,Mx_eA,My_eA,Mz_eA,M_mag_eA
182.0000,3.260178,-1.215858,-0.823892,3.575733
183.0000,-8.279504,2.363942,-7.995244,11.749993
184.0000,-1.693262,4.593841,-1.071440,5.011836
185.0000,3.130436,2.203466,-0.234258,3.835332
186.0000,2.029361,5.439215,-2.721532,6.411716
187.0000,7.550616,3.325860,-5.664983,10.008255
188.0000,1.788458,5.688327,5.330213,7.997926
189.0000,6.873147,-4.946218,-7.571947,11.359560
190.0000,8.545271,-11.397286,-7.095300,15.914241
191.0000,5.481139,-0.797270,-7.778991,9.549410
192.0000,11.049610,-8.288331,-7.175430,15.565253
193.0000,10.893181,-0.624225,-1.449396,11.006897
194.0000,10.722917,2.169539,-3.101735,11.371394
195.0000,10.237448,1.776216,-6.829323,12.433822
196.0000,18.362863,-6.959096,-13.753730,23.974754
197.0000,20.024764,-1.221609,-8.398335,21.748920
198.0000,30.780691,2.387437,-10.941963,32.754807
199.0000,29.332959,0.322584,-8.866456,30.645401
200.0000,38.922299,-5.595042,-14.367352,41.864909
201.0000,34.106070,-2.485135,-10.453990,35.758717
202.0000,29.201640,-4.039007,-14.128162,32.690279
203.0000,24.121428,-2.550198,-18.801462,30.689441
204.0000,27.912222,-6.899472,-23.758875,37.298512
205.0000,34.406852,-9.605863,-7.517267,36.504977
206.0000,33.871937,-9.116618,-3.756253,35.277901
207.0000,36.995909,-18.855376,0.136018,41.523981
208.0000,32.288220,-18.469352,8.400291,38.134118
209.0000,23.284102,-16.105186,-5.560444,28.852122
210.0000,21.171134,-14.449733,-7.913386,26.825983
211.0000,17.557675,-20.667701,-10.386792,29.039822
212.0000,21.091469,-22.259960,-13.492906,33.502454
213.0000,15.435038,-27.932580,-19.567949,37.434931
214.0000,9.239899,-30.405344,-3.194389,31.938453
215.0000,25.003018,-22.246229,-0.393836,33.469399
216.0000,10.441699,-23.584939,0.022156,25.793001
217.0000,13.272234,-21.945871,1.156676,25.673164
218.0000,10.982750,-12.705559,15.988553,23.188054
219.0000,7.873135,-9.319417,15.079222,19.396410
220.0000,13.198734,-9.339545,8.682721,18.352747
221.0000,8.502672,-15.763444,10.006881,20.516317
222.0000,5.954245,-9.624378,-1.715959,11.446667
223.0000,11.376756,-4.500145,6.975182,14.083147
224.0000,19.262244,-2.158207,1.076262,19.412631
225.0000,20.660761,4.314623,10.295713,23.483712
226.0000,32.624162,3.185624,-2.683667,32.888999
227.0000,29.093980,4.871005,5.361178,29.982138
228.0000,18.153239,11.853943,3.905542,22.029737
229.0000,20.863966,12.278163,7.745013,25.417387
230.0000,16.959717,11.051544,8.068679,21.791563
231.0000,11.723555,12.267634,4.332588,17.513078
232.0000,11.942955,8.620550,-3.317422,15.098124
233.0000,15.380648,-1.684851,-0.827199,15.494752
234.0000,12.774941,-1.569404,-4.016659,13.483163
235.0000,13.664277,-1.898708,-8.120793,16.008274
236.0000,2.565309,-8.169979,-6.821776,10.948333
237.0000,5.633849,-0.303092,-10.940822,12.309903
238.0000,-5.202128,-4.650644,4.872212,8.510527
239.0000,10.709102,4.520332,2.655552,11.923516
240.0000,3.292973,6.485258,18.375651,19.762762
241.0000,-3.095724,5.027116,5.152096,7.835783
242.0000,5.102146,0.706391,6.967129,8.664396
243.0000,3.245995,1.211888,9.359825,9.980555
244.0000,7.094963,4.359175,5.011952,9.719083
245.0000,-0.187685,1.987646,-3.504622,4.033403
246.0000,0.873609,12.626144,-0.794591,12.681249
247.0000,-9.315340,5.827011,6.359143,12.695209
248.0000,9.240702,9.262723,4.101858,13.711814
249.0000,18.195226,9.502113,-4.778285,21.075778
250.0000,12.098670,-5.027217,4.218336,13.763905
251.0000,12.024215,-13.416799,1.835510,18.109703
252.0000,9.367666,-0.632501,-4.199690,10.285456
253.0000,13.215959,-2.410401,-5.007444,14.336879
254.0000,13.910805,-3.464093,-6.300307,15.659001
255.0000,8.116087,-13.145948,5.418025,16.371982
256.0000,0.743637,-8.114764,3.974408,9.066328
257.0000,4.331727,-9.872323,2.652343,11.102321
258.0000,0.261128,-5.491430,-2.818410,6.177980
259.0000,7.469907,-11.429698,-0.575556,13.666337
