#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
20500,41.00000000000414,-28053.41842076717,13779.506811037385,-14273.911609729787,295.4967879987073,41.37653176870809,1.2153612410915384,101
21000,42.000000000005365,-28214.56176841785,13718.725352151585,-14495.836416266266,294.19335050149283,41.59988367769108,1.2088359042563468,101
21500,43.00000000000659,-28000.526582290844,13695.779548149112,-14304.747034141732,293.70128562037905,41.76567571939711,1.2040373377492297,101
22000,44.00000000000781,-28163.831208373027,13755.971917616542,-14407.859290756485,294.99209029746737,41.594600417332664,1.2089894480997474,101
22500,45.00000000000903,-28209.73958417762,13863.396566157451,-14346.343018020169,297.2957749671031,41.69013073726825,1.2062191246027172,101
23000,46.00000000001025,-28245.6836494901,13821.518312053799,-14424.165337436301,296.39771020003104,41.894292032192034,1.2003409190884313,101
23500,47.000000000011475,-28228.275929531283,13760.196053526843,-14468.07987600444,295.082675440367,41.668758645065324,1.2068377997729454,101
24000,48.0000000000127,-28134.86682954965,13697.179631362207,-14437.687198187443,293.73130992372126,41.81910849904534,1.2024989247111402,101
24500,49.00000000001392,-27912.158771780585,13563.262939766064,-14348.895832014521,290.8595124952112,41.97183159648576,1.1981233863211018,101
25000,50.00000000001514,-27961.33821844845,13391.39246266959,-14569.945755778861,287.17380918011634,42.00596615487407,1.1971497767025063,101
25500,51.000000000016364,-28290.747663930953,13572.375270207802,-14718.372393723152,291.05492328992557,41.532856781974296,1.2107867577340794,101
26000,52.000000000017586,-28264.575173522393,13763.656924477704,-14500.91824904469,295.1568926285205,41.375959645264295,1.2153780464216064,101
26500,53.00000000001881,-28399.87735388984,13684.417060641,-14715.460293248838,293.45762098068144,41.43363030211203,1.2136863855716062,101
27000,54.00000000002003,-27979.587082910606,13231.709075979543,-14747.878006931063,283.74945383048447,41.813323896502375,1.2026652826489839,101
27500,55.00000000002125,-28309.77439015584,13349.407874277926,-14960.366515877913,286.2734641107814,41.49341161846544,1.2119377761673753,101
28000,56.000000000022474,-28460.717095920183,13437.165784941706,-15023.551310978477,288.1554023454541,41.58819129515268,1.2091757644757632,101
28500,57.0000000000237,-28448.030593566018,13512.086070063933,-14935.944523502085,289.7620421122586,41.74750885279269,1.2045612872327487,101
29000,58.00000000002492,-28348.106743220662,13331.771991921638,-15016.334751299024,285.8952686745244,41.4984444896284,1.2117907941115418,101
29500,59.00000000002614,-28393.948209645776,13454.910577679027,-14939.037631966748,288.5359333274035,42.067086960418486,1.1954103941115934,101
30000,60.00000000002736,-28069.43855280614,13213.723968674625,-14855.714584131514,283.3637693852213,41.55303751055977,1.2101987246949424,101
30500,61.000000000028585,-28300.483980427885,13515.580153910914,-14784.903826516971,289.83697153955524,42.01360412826567,1.1969321377179456,101
31000,62.00000000002981,-28129.309757220497,13421.318908679794,-14707.990848540703,287.8155715300684,41.74049758257003,1.2047636208217969,101
