#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
5650	0.02	0.024180073565376284	3184.8579336463204
5700	0.02	0.02438645816842719	3212.04170703857
5750	0.02	0.026447244130324253	3483.476386612619
5800	0.02	0.024072819143410445	3170.73100819289
5850	0.02	0.022953969014634104	3023.362610013283
5900	0.02	0.023823810241735792	3137.9330113669957
5950	0.02	0.02640888159375325	3478.423497562359
6000	0.02	0.024079937336563897	3171.6685749821995
6050	0.02	0.02533466419912902	3336.933862202905
6100	0.02	0.023464188386384654	3090.5657229246767
6150	0.02	0.020383514316364607	2684.79734400084
6200	0.02	0.015476571321861735	2038.4834986877104
6250	0.02	0.014632713193428364	1927.3354391937428
6300	0.02	0.013578282383607896	1788.4519771125317
6350	0.02	0.0123414448682114	1625.542970119995
6400	0.02	0.014886675253874888	1960.785837136967
6450	0.02	0.014102220808854978	1857.462083549086
6500	0.02	0.013235717340261485	1743.3313122335812
6550	0.02	0.011230393960603434	1479.2018397585452
6600	0.02	0.008656626832345705	1140.2002798324736
6650	0.02	0.0060953616858555855	802.8454078584138
6700	0.02	-0.004574089467679753	-602.4723246172321
6750	0.02	-0.009123023016742008	-1201.6312586953297
6800	0.02	-0.017679198266350435	-2328.600643288251
6850	0.02	-0.022571674850663602	-2973.0090576216326
6900	0.02	-0.026625115198608416	-3506.9045238951344
6950	0.02	-0.03214473760136923	-4233.916919148416
7000	0.02	-0.030671400458876324	-4039.85756384838
7050	0.02	-0.03271376600495554	-4308.866013936404
7100	0.02	-0.03424870984512255	-4511.039843302146
7150	0.02	-0.03306719340395531	-4355.41740480083
7200	0.02	-0.035586198847025	-4687.206075690009
7250	0.02	-0.036016129790786444	-4743.834066231749
7300	0.02	-0.03597565941635529	-4738.503545100942
7350	0.02	-0.03693029321701861	-4864.242328547947
7400	0.02	-0.03633714851215506	-4786.116775539293
7450	0.02	-0.03478445254774787	-4581.604740147314
7500	0.02	-0.03405667512671257	-4485.746152825565
7550	0.02	-0.03557588188843907	-4685.847186217872
7600	0.02	-0.03265699471030621	-4301.388430889421
7650	0.02	-0.02878324494892115	-3791.1607582088154
7700	0.02	-0.02405119795848156	-3167.883192111213
7750	0.02	-0.02089860792623588	-2752.6424630627644
7800	0.02	-0.019261509247460975	-2537.013395551405
7850	0.02	-0.018211813590183163	-2398.7536200814743
7900	0.02	-0.023378252905919564	-3079.246803815479
7950	0.02	-0.016253831221658153	-2140.859628837968
8000	0.02	-0.020138460752346155	-2652.52032112817
8050	0.02	-0.017798438305833136	-2344.3062442132446
8100	0.02	-0.01577998379883842	-2078.4472164098174
8150	0.02	-0.013795262723493922	-1817.0313590181684
8200	0.02	-0.009093381823449764	-1197.7270939968928
8250	0.02	-0.009795488179354965	-1290.2044386924067
8300	0.02	-0.01054474169666354	-1388.891731866301
8350	0.02	-0.00841031621636876	-1107.7576854245406
8400	0.02	-0.00650387628232885	-856.6525623350323
8450	0.02	-0.006057115666672397	-797.8078657973182
8500	0.02	-0.0032189026660096247	-423.97504150506956
8550	0.02	-0.001963782286496623	-258.6579225324848
8600	0.02	-0.0004762520314758383	-62.72913342302301
8650	0.02	0.0029173188633363524	384.2521860718027
8700	0.02	0.005008842154456415	659.735406961091
8750	0.02	0.009797871628843094	1290.5183727253693
8800	0.02	0.011581799368400062	1525.4869057622268
8850	0.02	0.013988917554879599	1842.5384413047486
8900	0.02	0.013968031869494012	1839.7875009231952
