#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
31000,62.00000000002981,-53377.07095905293,13021.863084010609,-40355.207875042324,284.4220721252868,43.57625619256666,1.2091554766977926,96
31500,63.00000000003103,-53653.855748543305,13450.627406649997,-40203.22834189331,293.78709434305455,43.5937927179326,1.2086690683270946,96
32000,64.00000000003224,-53799.15189376653,13439.416803460928,-40359.73509030561,293.5422336062892,43.49128551864372,1.2115178523900123,96
32500,65.00000000002991,-53636.78999276259,13258.551307588652,-40378.23868517394,289.591789742759,43.07480093321624,1.2232318591772509,96
33000,66.00000000002758,-53685.628729541735,13303.037985079996,-40382.59074446174,290.56346276008577,43.170065322746126,1.2205325249175771,96
33500,67.00000000002525,-53649.848930405846,13387.070102422289,-40262.77882798356,292.3988828367196,43.65247366472223,1.207044284223689,95.9
34000,68.00000000002292,-53616.21342905277,13301.366607577613,-40314.846821475156,290.52695672024606,43.4446073142347,1.212819543933683,95.9
34500,69.00000000002059,-53318.926033299016,13146.127755247326,-40172.79827805169,287.13624712905505,43.45898849167981,1.2124182052538022,95.9
35000,70.00000000001826,-53265.61934522977,13113.747316351637,-40151.87202887813,286.4289972165332,43.37196917798161,1.2148507394950638,96
35500,71.00000000001593,-53410.12618034759,13220.206877191558,-40189.919303156035,288.7542749971618,43.80702202760603,1.2027859094376225,96
36000,72.0000000000136,-53572.93390102963,13167.097672009004,-40405.83622902063,287.5942696976516,43.5015859926105,1.211230984502001,96
36500,73.00000000001127,-53497.42916118087,13258.680518700949,-40238.74864247993,289.5946119573732,43.56290798747836,1.2095259766490642,96
37000,74.00000000000894,-53633.10996605583,13311.183672813171,-40321.926293242665,290.7413799574183,43.82042099534548,1.2024181336556479,96
37500,75.00000000000661,-53635.651745074785,13220.2503307143,-40415.40141436049,288.75522410412907,43.7570388819817,1.2041598374913114,96.1
38000,76.00000000000428,-53390.64033309251,12927.579630196626,-40463.060702895884,282.3627435078764,43.90174560421152,1.200190746496728,96.1
38500,77.00000000000195,-53489.181241115926,13293.137408131985,-40196.04383298394,290.3472154694621,43.83900240685805,1.2019084818632946,96.1
39000,77.99999999999962,-53194.931521950915,13091.080373743922,-40103.851148206995,285.93390839985324,43.621962240699894,1.2078885525252034,96.1
39500,78.99999999999729,-53632.763208781515,13485.000451544014,-40147.7627572375,294.53786653217526,43.64380005635521,1.2072841677670443,96.1
