SMILES,Temperature [K],Exp Density [g/mL],Sim Density [g/mL],Sim Density std [g/mL],Similarity
Clc1cccc2cccc(Cl)c12,373,1.2924,1.2503,0.00059,0.9085
CC(C)OC(=O)C(Cl)(Cl)Cl,298,1.2911,1.2406,0.00042,0.9666
Clc1cccc(Cl)c1,293,1.2884,1.2919,0.00073,0.9944
Clc1cccs1,293,1.2863,1.2998,0.00054,0.9233
COC(=O)c1ccccc1[N+](=O)[O-],293,1.2855,1.321,0.00064,0.9359
Cl/C=C\Cl,293,1.2837,1.3272,0.00093,0.921
CC(Cl)[N+](=O)[O-],293,1.2837,1.2271,0.0004,0.9091
CCOS(=O)Cl,293,1.2837,1.3347,0.00044,0.8956
Clc1cccc2cccnc12,287,1.2834,1.2927,0.00055,0.8953
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],384,1.2833,1.3419,0.00071,0.9313
CCOC(=O)C(Cl)Cl,293,1.2827,1.271,0.00056,0.9414
Cc1cc([N+](=O)[O-])ccc1[N+](=O)[O-],384,1.282,1.3372,0.00125,0.9467
COC(=O)C(F)(F)F,293,1.28,1.2914,0.00154,0.9711
O=C(c1ccccc1)C(F)(F)F,293,1.279,1.301,0.00088,0.9405
Fc1cc(F)cc(F)c1,298,1.277,1.3525,0.00101,0.9862
COC(Cl)Cl,298,1.271,1.268,0.00065,0.9261
Nc1ccc(F)cc1F,298,1.268,1.3502,0.00052,0.9455
c1cnsn1,298,1.268,1.456,0.00068,0.8549
Fc1ccc(F)c(F)c1,298,1.264,1.3571,0.00081,0.9763
CC(O)C(F)(F)F,298,1.2632,1.3169,0.00113,0.9576
S=C=S,293,1.2632,1.3307,0.00048,0.8926
Clc1ccc2cccc(Cl)c2c1,373,1.2611,1.2769,0.00085,0.9325
CCC([N+](=O)[O-])[N+](=O)[O-],298,1.261,1.2144,0.00106,0.8975
ClC(Cl)c1ccccc1,298,1.26,1.2211,0.00054,0.9457
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,384,1.2594,1.2901,0.00082,0.9266
C1CSCS1,290,1.259,1.2512,0.00046,0.9132
CCOC(=O)CC(=O)C(F)(F)F,288,1.2586,1.2786,0.00081,0.9489
O=C(Cl)CCCCl,293,1.2581,1.38,0.00055,0.8895
ClCC#CCCl,293,1.258,1.1808,0.00053,0.9278
Cl/C=C/Cl,293,1.2565,1.2679,0.00076,0.921
Cc1ccc(Cl)c(Cl)c1,293,1.2564,1.2565,0.0005,0.9902
Cc1ccc(Cl)cc1[N+](=O)[O-],353,1.2559,1.2883,0.00087,0.9371
FC(F)(F)c1ccccc1Cl,303,1.254,1.372,0.00088,0.944
CC(F)(Cl)Cl,283,1.25,1.3562,0.00102,0.9278
Cc1ccc(Cl)cc1Cl,293,1.2476,1.2575,0.00087,0.9945
CC(=O)O[N+](=O)[O-],288,1.24,1.3211,0.00063,0.9516
OC(CF)CF,298,1.24,1.2777,0.00069,0.9656
COC(=O)CCl,293,1.236,1.2606,0.00099,0.9522
SCCS,293,1.234,1.1201,0.00072,0.9223
CCOC(=O)C(F)Cl,293,1.225,1.2895,0.00065,0.9425
Cl/C=C\CCl,293,1.224,1.254,0.00082,0.9238
Fc1ccccc1Cl,303,1.2233,1.2438,0.0006,0.9838
COC(=O)Cl,293,1.2231,1.3949,0.00059,0.8919
C=C[N+](=O)[O-],287,1.2212,1.0727,0.00046,0.9056
Fc1cccc(Cl)c1,298,1.221,1.2451,0.00068,0.9906
ClCCOCCCl,293,1.22,1.2127,0.00072,0.9845
CCOC(=O)CC(=O)CCl,298,1.218,1.2442,0.00057,0.956
Fc1ccccc1CCl,298,1.216,1.2326,0.00069,0.9514
COP(=O)(OC)OC,293,1.2144,1.2443,0.00057,0.9869
Fc1ccc(CCl)cc1,293,1.2143,1.2439,0.00077,0.9494
COS(=O)OC,293,1.2129,1.1465,0.00079,0.8958
O=C(Cl)c1ccccc1,293,1.212,1.3373,0.00055,0.8925
C=C(Cl)CCl,293,1.211,1.1656,0.00059,0.9032
CCSCCSP(=S)(OC)OC,293,1.209,1.2258,0.00077,0.919
CO[N+](=O)[O-],293,1.2075,1.1798,0.00065,0.9569
CCC(Cl)[N+](=O)[O-],293,1.207,1.1553,0.00047,0.9106
CC1COC(=O)O1,293,1.2047,1.2067,0.00056,0.9763
Cl[C@@H]1CCCC[C@@H]1Cl,293,1.2021,1.1503,0.00054,0.9205
OCCCl,293,1.2019,1.201,0.00053,0.982
CC(C)(Cl)[N+](=O)[O-],293,1.2,1.1804,0.00056,0.9207
Clc1ccncc1,298,1.2,1.2102,0.00057,0.9822
O=C1OC(=O)C2=C1CCCC2,378,1.2,1.1852,0.00086,0.886
c1cscn1,290,1.1998,1.2043,0.00043,0.9454
O=P(Cl)(Cl)c1ccccc1,298,1.197,1.4596,0.00038,0.9539
O=Cc1ccc(Cl)cc1,334,1.196,1.2105,0.00069,0.9775
CCSC(=O)Cl,293,1.195,1.2666,0.00069,0.8905
ClCCOCCOCCCl,293,1.195,1.201,0.00054,0.9854
O=C(Cl)OCc1ccccc1,298,1.195,1.3146,0.00062,0.8931
CC(=O)OCCl,293,1.194,1.2145,0.00028,0.9541
CCOC(=O)C(F)(F)F,293,1.194,1.2161,0.00083,0.9708
N#CCCl,293,1.193,1.2174,0.00056,0.9569
COc1ccccc1Cl,293,1.1911,1.201,0.00069,0.9874
Cc1c(F)cccc1Cl,298,1.191,1.2261,0.00072,0.979
O=CCCl,298,1.19,1.3043,0.00055,0.9548
O=[N+]([O-])c1ccccc1CCO,298,1.19,1.2801,0.00059,0.9467
C=C(Cl)C(=O)OC,293,1.189,1.2008,0.00062,0.9202
COc1ccc([N+](=O)[O-])cc1OC,406,1.1888,1.2124,0.00089,0.9473
FC(F)(F)c1ccccc1,293,1.1884,1.2565,0.00087,0.9503
ClC/C=C\CCl,298,1.188,1.2139,0.00066,0.9612
CC1CCS(=O)(=O)C1,298,1.188,1.2128,0.00061,0.9073
Clc1cccc2ccccc12,298,1.188,1.2035,0.00043,0.9349
COCC(=O)Cl,293,1.1871,1.2656,0.0005,0.8867
CC=C(Cl)Cl,298,1.1864,1.1123,0.0009,0.9228
ClC/C=C/CCl,298,1.183,1.2139,0.00036,0.9612
SCCSCCS,298,1.183,1.1809,0.00039,0.9229
C=C(Cl)C(=C)Cl,293,1.1829,1.1399,0.00063,0.8993
CC(Cl)C=O,288,1.182,1.1713,0.00057,0.9507
CCCCOC(=O)C(Cl)Cl,293,1.182,1.1843,0.00084,0.9414
C/C(Cl)=C\Cl,293,1.1818,1.1417,0.00092,0.9099
ClCC1CO1,293,1.1812,1.2187,0.00074,0.8859
OCCOCCCl,298,1.18,1.1749,0.00103,0.9854
CN(C)c1ccccc1[N+](=O)[O-],293,1.1794,1.1803,0.00056,0.9301
OCCSCCO,298,1.1793,1.1933,0.00073,0.9462
ClCCCCl,298,1.1785,1.1682,0.00081,0.9795
ClCc1ccco1,293,1.1783,1.1968,0.00066,0.9362
C=C(CCl)CCl,293,1.1782,1.1698,0.00093,0.9294
COc1ccc(F)cc1,291,1.1781,1.1589,0.00047,0.9934
CC(=O)OCCCl,293,1.178,1.1838,0.00044,0.9858
O=Cc1ccccc1F,298,1.178,1.2027,0.00042,0.9517
C=CS(=O)(=O)C=C,298,1.177,1.2277,0.00048,0.9123
CCOC(=O)C(F)F,293,1.1765,1.2155,0.00099,0.9638
CC(Cl)Cl,293,1.1757,1.1703,0.00079,0.9613
FCCCl,293,1.1747,1.1983,0.00078,0.9546
CCOS(=O)(=O)OCC,298,1.172,1.1597,0.00042,0.9303
