SMILES,Temperature [K],Exp Density [g/mL],Sim Density [g/mL],Sim Density std [g/mL],Similarity
CC(C)Sc1ccccc1,293,0.9852,1.0167,0.0006,0.9368
CCCCOCCOCCOC(C)=O,293,0.985,1.0039,0.00083,0.991
CCOC(=O)C(OCC)OCC,298,0.985,1.0049,0.00091,0.9252
COc1ccccc1C,298,0.985,1.0127,0.00065,0.9818
Cc1ccc(C)s1,293,0.985,0.9984,0.0005,0.9181
CC(=O)CCc1ccccc1,295,0.9849,1.0209,0.00044,0.9799
COC(=O)C1CC1,293,0.9848,1.013,0.00083,0.9358
CCOC(=O)C(CC)C(C)=O,289,0.9847,1.003,0.00114,0.9382
CC(C)CC(=O)Cl,293,0.9844,1.0809,0.00042,0.8895
CC(=O)CC(=O)OC(C)C,293,0.9835,1.0148,0.00036,0.9652
C=CC(=O)OCCOCC,293,0.983,1.0139,0.00071,0.9698
CCC(CC)C(=O)Cl,293,0.9825,1.0764,0.00053,0.8945
CCCCOC(=O)CC(=O)OCCCC,293,0.9824,1.0093,0.00051,0.9586
NCCCO,299,0.9824,0.9812,0.00089,0.9851
C=COCCO,293,0.9821,1.0085,0.00047,0.9777
CC(C)[N+](=O)[O-],298,0.9821,0.9618,0.00068,0.9207
c1ccncc1,293,0.9819,1.0092,0.00081,0.9932
C=CCOc1ccccc1,293,0.9811,1.0185,0.0006,0.9687
CC1OCCO1,293,0.9811,1.0297,0.0006,0.9463
C=CCCC(=O)O,293,0.9809,1.0099,0.00063,0.9828
CC1(C)C2CCC(=O)C1C2,293,0.9807,0.9687,0.001,0.9074
CCC(C)c1ccccc1O,298,0.9804,1.0116,0.00064,0.9264
CCOC(=O)C(CC(C)C)C(=O)OCC,293,0.9804,0.9998,0.00053,0.924
CCCSSC,298,0.98,1.0003,0.00062,0.9445
CCOC(=O)CC(=O)C(C)C,298,0.98,1.011,0.00053,0.9564
ClCC1CC1,298,0.98,0.9705,0.00081,0.9279
CCC(O)C(C)O,292,0.9798,0.9797,0.0005,0.9736
CCSC(C)=O,293,0.9792,1.0091,0.00037,0.9169
CCc1ccc(C=O)cc1,293,0.979,1.0278,0.0007,0.9775
CCCCCC(=O)Cl,293,0.9784,1.0712,0.00062,0.8895
CC(C)(C)c1ccccc1O,293,0.9783,1.0128,0.00047,0.9294
SC1CCCCC1,293,0.9782,0.9691,0.00056,0.9214
CCCN=C=S,289,0.9781,0.9469,0.00076,0.9023
C=COc1ccccc1,293,0.977,1.0276,0.00059,0.9538
O=C(C1CC1)C1CC1,298,0.977,0.9922,0.0008,0.9351
CCCCC(C(=O)OCC)C(=O)OCC,293,0.9764,0.9987,0.0007,0.9255
CC1CCOCO1,293,0.9758,1.0237,0.00103,0.953
CC(C)c1ccc(C=O)cc1,293,0.9755,1.0106,0.00077,0.9664
CCCCc1ccccc1O,293,0.975,1.0116,0.00054,0.9407
CC(=O)C#N,293,0.9745,0.9885,0.00071,0.966
O=C1CCCC1C1CCCC1,294,0.9745,0.9973,0.00061,0.9415
CCOCCOC(C)=O,293,0.974,0.9963,0.00074,0.9927
CCCCc1cccc2ccccc12,293,0.9738,1.0112,0.00065,0.9001
CCCCOC(=O)CCC(C)=O,293,0.9735,1.0018,0.00078,0.9874
CC(C)CCC(=O)Cl,293,0.9725,1.0669,0.00063,0.8895
CCCC(O)CO,293,0.9723,0.9833,0.00091,0.9776
CC(=O)CC(C)=O,298,0.9721,0.9929,0.00066,0.9562
CCC(=O)F,288,0.972,1.0708,0.00091,0.9131
Cc1cccc2c1CCCC2,293,0.972,1.0184,0.00056,0.9294
O=C1C=C(c2ccccc2)CC1,293,0.9711,1.1586,0.00075,0.8776
CCOCC(=O)OCC,293,0.9702,0.9885,0.00092,0.9619
CC1C=Cc2ccccc21,298,0.97,1.0146,0.00062,0.9151
CCCCC(CC)COC(=O)CS,293,0.97,0.9912,0.00044,0.925
CCCC[N+](=O)[O-],298,0.97,0.9583,0.00063,0.9365
CCOCC1CO1,293,0.97,0.9785,0.00073,0.884
O=CC1=CCCC1,294,0.97,1.0028,0.00074,0.8734
C=CCOCC1CO1,293,0.9698,1.0113,0.00062,0.884
c1cc[nH]c1,293,0.9698,1.0108,0.00029,0.9648
O=C1CCCCC1C1CCCCC1,298,0.9696,0.9944,0.00062,0.9297
CC1=CC(=O)CCC1,293,0.9693,0.9941,0.00058,0.909
CCOC(=O)OCC,298,0.9692,0.9907,0.00073,0.9989
CC(C)(C)CC(=O)Cl,293,0.969,1.044,0.0006,0.8896
COc1ccc(C)cc1,298,0.969,1.002,0.00068,0.9939
COc1cccc(C)c1,298,0.969,0.9988,0.00046,0.9956
CCOC(=O)C1CC=CCC1,293,0.9688,1.0234,0.00064,0.9152
CN(C)C(=O)N(C)C,293,0.9687,0.9792,0.00048,0.9588
CC(=O)N1CCCC(C)C1,298,0.9684,0.9996,0.00041,0.962
CCCCN(CCO)CCO,293,0.9681,0.9674,0.00054,0.9612
CC(=O)OC1CCCCC1,293,0.968,1.0096,0.0006,0.9461
COC(OC)OC,293,0.9676,0.9678,0.00055,0.9191
CCCCc1ccc2ccccc2c1,293,0.9673,1.0056,0.00054,0.936
CCCCOC(=O)CC(C)=O,298,0.9671,1.0011,0.00062,0.9652
CN=Cc1ccccc1,287,0.9671,0.9734,0.00069,0.8823
CCCC(=O)OC(=O)CCC,293,0.9668,0.998,0.0007,0.9759
C1CCC2OC2C1,293,0.9663,1.0035,0.00052,0.8663
CCCC(C(C)=O)C(=O)OCC,293,0.9661,0.9886,0.00055,0.9352
COC(CN)OC,298,0.966,0.9725,0.00059,0.9474
CC(=O)OC(C)(C)C1CC=C(C)CC1,294,0.9659,0.9929,0.0004,0.9101
CCOC1CCC=CO1,298,0.9658,0.99,0.00054,0.8955
C(#Cc1ccccc1)c1ccccc1,373,0.9657,1.0066,0.00078,0.9195
CCOC(C)Cl,293,0.9655,0.997,0.0005,0.9444
CCOc1ccccc1,293,0.9651,0.996,0.00085,0.9868
C=CCc1ccc(OC)cc1,298,0.965,1.0066,0.00048,0.9653
C=COC=O,293,0.965,1.0184,0.00056,0.9695
CCCC#CC(=O)OC,298,0.9648,0.9594,0.00046,0.8979
CCOC(=O)C(C(C)=O)C(C)C,291,0.9648,0.9826,0.00056,0.9289
COCCO,293,0.9647,0.9689,0.00055,0.9977
C#CC(=O)OCC,289,0.9645,1.0113,0.00044,0.9073
C=C(C)C1CC=C(C=O)CC1,293,0.9645,0.995,0.00078,0.909
c1ccc2c(c1)CCCC2,298,0.9645,1.01,0.00059,0.931
CCOC(=O)C(CC)(CC)C(=O)OCC,303,0.9643,0.9956,0.00079,0.9036
CC#CC(=O)OCC,293,0.9641,0.9802,0.00076,0.8978
C1CC2OC2C1,298,0.964,0.9862,0.00038,0.8669
c1ccc2c(c1)CCC2,293,0.9639,1.0048,0.00071,0.9513
CC(O)CC(C)O,293,0.9635,0.9804,0.00026,0.9658
COCc1ccccc1,293,0.9634,0.992,0.00052,0.963
CC(C)CN=C=S,287,0.9631,0.9243,0.00071,0.9015
CCOP(OCC)OCC,293,0.9629,1.0399,0.00063,0.8738
COc1cc(C)cc(C)c1,288,0.9627,0.9909,0.00044,0.991
C=C(C)C(=O)OC1CCCCC1,293,0.9626,0.9945,0.00095,0.9445
CCc1ccc(OC)cc1,288,0.9624,0.9966,0.00065,0.9815
C=CC(=O)N(C)C,298,0.962,0.9904,0.00065,0.953
CCC#CC(=O)OCC,298,0.962,0.9595,0.00089,0.8963
COCC(C)O,293,0.962,0.9211,0.00032,0.9886
O=C1C=CCCC1,298,0.962,1.0205,0.00068,0.9181
C=CCCCC(=O)O,293,0.961,0.991,0.00031,0.9885
CCOC(=O)C1CC1,288,0.9608,0.9907,0.00051,0.9363
C=C/C=C/Cl,293,0.9606,0.9801,0.00063,0.9241
CCCSSCCC,293,0.9599,0.9756,0.0008,0.9464
CCCCCCC(=O)Cl,293,0.959,1.0484,0.00067,0.8895
CC(C)CCOC(=O)C(C)O,298,0.9589,1.0009,0.00059,0.9521
C=CC1CCC2OC2C1,293,0.9581,1.016,0.00078,0.8671
C=CCOCCO,293,0.958,0.9694,0.00048,0.9707
CCCC(=O)OC1CCCCC1,273,0.9572,0.9873,0.0005,0.9463
COCC(C)=O,298,0.957,0.9481,0.0009,0.952
Cc1cccnc1,293,0.9566,0.9934,0.00059,0.9811
CCCCSC#N,288,0.9563,0.9376,0.00026,0.9023
C=CC(=C)Cl,293,0.956,0.9774,0.00078,0.8981
CCCCOCCOCCO,293,0.9553,0.9642,0.00053,0.991
SC1CCCC1,293,0.955,0.9815,0.00061,0.9068
Cc1ccncc1,293,0.9548,0.9793,0.00066,0.989
O=C1CCC1,273,0.9547,0.9712,0.00053,0.8857
CCCCN=C=S,293,0.9546,0.9323,0.00057,0.9029
CCCN(CCC)C(=O)SCC,303,0.9546,0.9832,0.00043,0.9194
CCc1cccnc1,298,0.9539,0.9684,0.00067,0.9717
CCCCc1cccs1,293,0.9537,0.9802,0.00077,0.9044
CCOC(=O)CC1CCCCC1,287,0.9537,0.9725,0.00083,0.9545
Cc1ccc2c(c1)CCCC2,293,0.9537,0.9968,0.00056,0.9261
C=CC(=O)OC,293,0.9535,0.9986,0.001,0.9699
CC(C)C(=O)OC(=O)C(C)C,293,0.9535,1.0085,0.00058,0.9536
CCCCCCCC(=O)Cl,288,0.9535,1.032,0.00049,0.8895
CCCSC(C)=O,298,0.9535,0.9864,0.00049,0.9182
CCCC(=O)O,298,0.9528,0.9797,0.0007,0.9885
CCCCC[N+](=O)[O-],293,0.9525,0.9496,0.00043,0.9366
CCCCC(C(C)=O)C(=O)OCC,293,0.9523,0.9749,0.00071,0.9346
C=CCCCCC(=O)O,287,0.9515,0.9823,0.00069,0.9885
CCOc1ccc(C)cc1,291,0.9509,0.9872,0.00055,0.9868
C/C=C/C=C/C(=O)OCC,293,0.9506,0.9737,0.00057,0.9215
CC(C)OCCc1ccccn1,298,0.9502,0.9814,0.00068,0.9341
CCc1ccccn1,298,0.9502,0.9545,0.00042,0.9505
CC(C#N)CCC#N,298,0.95,0.9918,0.00026,0.9567
COC(C)COC(C)CO,298,0.95,0.9744,0.00074,0.983
COCC#N,293,0.9492,0.9465,0.00049,0.9583
CCOCCC(=O)OCC,293,0.949,0.9602,0.00086,0.9878
CCOc1cccc(C)c1,293,0.949,0.9788,0.00063,0.9871
N#CCCCCCC#N,291,0.949,0.9797,0.00071,0.9765
CC(C)C(=O)OC1CCCCC1,273,0.9489,0.9788,0.00068,0.9463
OC1CCCC1,293,0.9488,1.0081,0.00053,0.9575
O=C1CCCC1,293,0.9487,0.9629,0.00074,0.9624
C#CCO,293,0.9478,1.0291,0.00051,0.9007
CCOCc1ccccc1,293,0.9478,0.9687,0.00044,0.9607
O=C1CCCCC1,293,0.9478,0.965,0.00064,0.9586
CCCOc1ccccc1,293,0.9474,0.9798,0.00061,0.9845
CCCc1ccc(OC)cc1,293,0.9472,0.9791,0.00053,0.983
c1ccc(C2CCCC2)cc1,293,0.9462,0.9921,0.00066,0.9378
C=CCOC=O,293,0.946,0.9742,0.00031,0.9687
CC(C)c1ccc(C(C)CC=O)cc1,293,0.9459,0.9824,0.00066,0.9583
C=C/C=C/OC(C)=O,298,0.945,0.9687,0.00061,0.9474
Cc1ccc[nH]1,288,0.9446,0.9748,0.00058,0.9583
C=Cc1ccco1,292,0.9445,1.0213,0.00059,0.934
CN(C)C=O,298,0.9445,0.9431,0.00075,0.9642
C/C=C/C(=O)OC,293,0.9444,0.9736,0.00089,0.9481
Cc1ccccn1,293,0.9443,0.971,0.00037,0.9932
C=CCOC(=O)C=C,293,0.9441,0.9877,0.00043,0.9698
C1CCC2C(C1)CCC1CCCCC12,293,0.944,0.9773,0.00045,0.9094
COC(C)(OC)OC,298,0.9438,0.9759,0.00073,0.9197
CC(C)SSC(C)C,293,0.9435,0.9802,0.00067,0.9404
CCCOC(=O)OCCC,293,0.9435,0.9732,0.00078,0.998
CCCCNC(=O)OCC,299,0.9434,0.9643,0.00065,0.9447
COCCOCCOC,293,0.9434,0.9598,0.00067,0.991
C/C=C\CCl,293,0.9426,0.9605,0.00066,0.9625
CCN(CC)N=O,293,0.9422,0.9279,0.00026,0.8779
CCN(CC)CCOCCO,298,0.9421,0.9265,0.0006,0.9662
CC#Cc1ccccc1,288,0.942,0.9682,0.00079,0.913
Cc1cncc(C)c1,293,0.9419,0.9797,0.00054,0.9791
CCCOP(OCCC)OCCC,293,0.9417,0.9916,0.0008,0.8729
CCc1ccncc1,293,0.9417,0.969,0.00061,0.9752
CC1CS1,293,0.941,0.963,0.00056,0.8606
CCC(=O)C(=O)CC,294,0.941,0.9576,0.00074,0.9625
CC(C)Oc1ccccc1,298,0.9408,0.9716,0.00056,0.9732
CCSC(=O)N(CC(C)C)CC(C)C,298,0.9402,0.9593,0.00066,0.9194
C1=CCOCC1,292,0.94,0.9675,0.00068,0.9128
CC(C)c1cccc(C(C)C)c1N,298,0.94,0.9516,0.00075,0.9039
CC1=CC(=O)CC(C)C1,293,0.94,0.9589,0.00065,0.9078
CCCCC(CC)C(=O)Cl,298,0.939,1.0276,0.00084,0.8945
CC(=O)CC(C)(C)O,293,0.9387,0.9565,0.00068,0.9758
CC(C)c1ccncc1,298,0.9382,0.9509,0.00071,0.9637
CCCc1ccncc1,288,0.9381,0.9591,0.00072,0.9747
C=CC(=O)OCCN(C)C,293,0.938,0.976,0.00066,0.9698
CC1CCc2ccccc21,298,0.938,0.9839,0.00052,0.9251
CCCCSSCCCC,293,0.938,0.9549,0.00044,0.9458
COC(C)CO,293,0.938,0.9417,0.00055,0.9846
O=CC1CC1,298,0.938,0.9261,0.00035,0.9399
COCCC#N,293,0.9379,0.9593,0.00054,0.9722
C=C(C)C(=O)OC,298,0.9377,0.971,0.00039,0.9955
C=CCCl,293,0.9376,0.9682,0.00067,0.9676
CC(=O)N(C)C,298,0.9372,0.9397,0.0007,0.972
O=CC1CCCC1,293,0.9371,0.9681,0.00047,0.9502
C=CC(=O)OCCN(CC)CC,293,0.937,0.9497,0.00086,0.9664
CC#CCO,293,0.937,0.9841,0.00056,0.9147
CCN=Cc1ccccc1,293,0.937,0.9564,0.00051,0.8825
CNCCO,293,0.937,0.9421,0.00079,0.9936
CCOC(=O)C1CCCCC1,293,0.9362,0.9804,0.00076,0.9273
CCC1(C)OCCO1,293,0.936,0.9742,0.00046,0.9289
CCC(=O)OC1CCCCC1,293,0.9359,0.9844,0.00061,0.9463
CCCCOc1ccccc1,293,0.9351,0.9658,0.00046,0.9841
C/C=C(/C)C(=O)OC,285,0.9349,0.9859,0.00076,0.9378
CNc1ccc(C)cc1,328,0.9348,0.978,0.00059,0.9514
CC(C)=C1CC[C@@H](C)CC1=O,318,0.9346,0.932,0.00059,0.9084
COC(C)=O,293,0.9342,0.9603,0.00055,0.9974
CC1=CC(=O)CC(C(C)C)C1,294,0.934,0.9521,0.00065,0.9077
CCC(C)C(=O)O,293,0.934,0.968,0.00081,0.9498
CCCCC(=O)O,298,0.9339,0.9598,0.00066,0.9885
C=CCOC(=O)C(=C)C,293,0.9335,0.9715,0.00085,0.9756
CCOO,293,0.9332,0.9112,0.00076,0.8933
OCC1CCCC1,293,0.9332,0.967,0.00083,0.9435
CC1=CC(=O)C(C(C)C)CC1,293,0.9331,0.946,0.00044,0.9084
CC(C)CC(=O)OC(=O)CC(C)C,293,0.9327,0.9613,0.00062,0.9749
C=Cc1ccccc1C=C,295,0.9325,0.9756,0.00021,0.9119
CCCC(O)C(CC)CO,295,0.9325,0.9576,0.00043,0.948
CC(C)(O)C#N,292,0.932,0.9828,0.00052,0.9668
c1ccc(C2CC2)cc1,293,0.9317,0.9775,0.00058,0.9073
CCCCOCCOCC(C)O,293,0.931,0.9437,0.00079,0.9885
CCC(=O)NC,298,0.9305,0.9571,0.00042,0.9491
C#Cc1ccccc1,293,0.93,0.9604,0.0004,0.8894
Cc1ccc(C)nc1,293,0.9297,0.9657,0.00048,0.9791
OCC1CCCCC1,293,0.9297,0.9655,0.00056,0.9504
C/C=C/CCl,293,0.9295,0.9548,0.00069,0.9625
C=Cc1cccc(C=C)c1,293,0.9294,0.9793,0.00054,0.9492
CCOCCC#N,288,0.9285,0.9349,0.00047,0.9718
C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1,292,0.928,0.9546,0.00104,0.9383
CNCC(OC)OC,298,0.928,0.9389,0.00075,0.9477
NC1CCCCCCC1,298,0.928,0.8876,0.00051,0.9433
C=CCOC(C)=O,293,0.9275,0.9652,0.00072,0.9785
CC(C)=CCCl,293,0.9273,0.9436,0.00037,0.9598
C1=COCC1,298,0.927,0.9781,0.0005,0.8553
CCCC1CCCCC1=O,293,0.927,0.929,0.00049,0.9348
CCC(=O)N(C)C,293,0.9269,0.9407,0.00055,0.97
CCC(C)CC(=O)O,293,0.9262,0.9478,0.00039,0.977
CCC(N)=O,383,0.9262,0.9493,0.00062,0.9558
CCCCCC#CC(=O)OC,293,0.926,0.9439,0.0005,0.8979
C#CCCc1ccccc1,293,0.9258,0.9616,0.00058,0.8961
C#CCCO,293,0.9257,0.9534,0.00079,0.8974
C=COC(C)=O,298,0.9256,0.957,0.00058,0.9869
CC1=CC(=O)CC(C)(C)C1,293,0.9255,0.9334,0.00057,0.9061
CCOCCO,298,0.9253,0.9272,0.00066,0.9942
CCCCOC(=O)OCCCC,293,0.9251,0.9494,0.00072,0.9949
C=C(C)c1cccc(C(=C)C)c1,298,0.925,0.9683,0.0005,0.9218
C=CC(=C)c1ccccc1,293,0.925,0.968,0.00037,0.9053
C=CCS,296,0.925,0.8973,0.0006,0.9227
CC1CCCC(C)C1=O,298,0.925,0.9361,0.00073,0.9377
CC1CCCCC1=O,293,0.925,0.9487,0.00046,0.9391
Cc1ccc(O)c(C(C)(C)C)c1,348,0.9247,0.9597,0.00097,0.9313
CC(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C,293,0.9244,0.948,0.00053,0.9295
CCCCC(=O)OC(=O)CCCC,293,0.924,0.9763,0.00056,0.9759
CCCCCC(=O)OC(=O)CCCCC,288,0.924,0.9639,0.00079,0.9759
Cc1cccc(C(C)(C)C)c1O,353,0.924,0.9625,0.00071,0.9296
C/C=C(\C)Cl,293,0.9239,0.9077,0.00074,0.9229
C=CC(=O)OCC,293,0.9234,0.9607,0.00038,0.9698
CC/C(C)=N/O,293,0.9232,0.9027,0.0007,0.8742
CCC/C=N\O,293,0.923,0.8923,0.00088,0.8794
CC(O)CC(C)(C)O,288,0.923,0.9575,0.00061,0.9604
COC(C)CCO,296,0.923,0.9282,0.00103,0.9789
Cc1ccoc1,291,0.923,0.963,0.00062,0.9358
C1CCC(OC2CCCCC2)CC1,293,0.9227,0.9428,0.00081,0.9513
CC(C)(C)SSC(C)(C)C,293,0.9226,0.9592,0.00062,0.9348
Cc1cccc(C)n1,293,0.9226,0.9541,0.00094,0.9915
OC1CCC1,288,0.9218,0.9979,0.00066,0.8913
CC1CCC[C@@H](O)C1,303,0.9214,0.9371,0.0005,0.9653
CC(C)(C)Oc1ccccc1,293,0.9214,0.9547,0.00059,0.9624
C=CCCCl,293,0.9211,0.9407,0.00073,0.9805
C1=COCCC1,292,0.921,0.9601,0.00085,0.8959
CCOC=O,293,0.9208,0.931,0.00058,0.9687
C1=C\C=C/C=C\C=C/1,293,0.9206,0.9615,0.00071,0.8953
CCCCOc1ccc(C)cc1,298,0.9205,0.9555,0.00077,0.9841
CCc1ccc(C)nc1,293,0.9202,0.9493,0.0005,0.9687
C/C=C(\C)C(=O)OCC,293,0.92,0.9438,0.00075,0.9378
CCN(C)c1ccccc1,328,0.92,0.9451,0.00075,0.9621
NC1CCC(CC2CCC(N)CC2)CC1,348,0.92,0.9629,0.00095,0.9555
CCOC(=O)C=C(C)C,294,0.9199,0.9545,0.00068,0.9332
C=C(C)C1CCC(C)CC1=O,293,0.9198,0.9438,0.00064,0.9256
C/C=C(/C)c1ccccc1,298,0.9191,0.936,0.00075,0.9086
CCCCCCCCCC(=O)Cl,298,0.919,0.999,0.0004,0.8895
CCN(CC)C(=O)N(CC)CC,293,0.919,0.9419,0.00056,0.947
CC(C)=CCl,293,0.9186,0.9183,0.00048,0.9277
CC(C)OCC1CO1,293,0.9186,0.9576,0.0005,0.884
CCOC(OCC)(OCC)OCC,293,0.9186,0.9284,0.00064,0.9187
CCCCOCC1CO1,293,0.918,0.9467,0.00081,0.884
CC(=O)C1CCCCC1,293,0.9176,0.9599,0.0005,0.9339
C/C=C/C(=O)OCC,293,0.9175,0.9426,0.00085,0.9481
C=Cc1ccc(C)cc1,298,0.9173,0.9406,0.00035,0.949
Cc1cc(C)c(O)c(C(C)(C)C)c1,353,0.917,0.9529,0.00069,0.9296
C=C(C)CCl,293,0.9165,0.9433,0.00078,0.9525
CCOCCC=O,293,0.9165,0.9106,0.00073,0.9663
CC(=O)OC/C=C(\C)CCC=C(C)C,288,0.9163,0.9453,0.00059,0.9471
CCCN(CCC)N=O,293,0.9163,0.9134,0.0005,0.8795
CCOC(CN)OCC,298,0.9159,0.922,0.00072,0.9465
C[C@@H]1CCC[C@H](O)C1,293,0.9155,0.9448,0.00055,0.9653
C#CC=O,293,0.9152,0.939,0.00085,0.8999
CCC(=O)OC,293,0.915,0.9422,0.00058,0.9967
CC1(C)CCCCC1=O,293,0.9145,0.9306,0.00066,0.9372
Cn1cccc1,288,0.9145,0.9454,0.00033,0.9634
C=CCOC(=O)CC,293,0.914,0.9478,0.00055,0.9786
CCNCCO,293,0.914,0.9132,0.00056,0.9904
CC1CCCC1=O,293,0.9139,0.9463,0.00055,0.9528
C/C=C(\C)c1ccccc1,298,0.9138,0.9433,0.00056,0.9086
CC(C)COC(=O)OCC(C)C,293,0.9138,0.942,0.0008,0.9782
CC1CCC(=O)CC1,293,0.9138,0.9378,0.00077,0.9586
CC1CCCC(=O)C1,293,0.9136,0.9336,0.00049,0.9585
C=C(C)C(=O)OCC,293,0.9135,0.9425,0.00081,0.9976
CC/C=C/CC(=O)OC,298,0.9132,0.9393,0.00053,0.9718
Cc1ccco1,293,0.9132,0.9471,0.00064,0.9913
C#CCCCO,293,0.913,0.9398,0.0009,0.8965
C=Cc1ccc(C=C)cc1,313,0.913,0.9818,0.00054,0.949
CCN(CC)C(C)=O,290,0.913,0.9297,0.00037,0.9608
CCc1ccnc(C)c1,298,0.913,0.9506,0.00073,0.9739
CCCCC/C=C\C=C\C(=O)OC,295,0.9128,0.9534,0.00058,0.9219
C1CCC(NC2CCCCC2)CC1,293,0.9123,0.9432,0.0006,0.9541
C=CCC(=O)OCC,293,0.9122,0.9422,0.00054,0.9714
CC1=CCOCC1,298,0.912,0.9322,0.00033,0.9008
N#CC1CCCC1,298,0.912,0.954,0.00037,0.9359
CCCc1ccccn1,293,0.9119,0.9455,0.00066,0.9417
CCCCON=O,298,0.9114,0.9316,0.00114,0.8608
CCCOCCO,293,0.9112,0.918,0.00041,0.992
C1=CCNCC1,298,0.911,0.9315,0.00073,0.9169
OCC1CC1,298,0.911,0.9522,0.00075,0.9222
CC(C)[C@]12CC(=O)[C@H](C)[C@H]1C2,298,0.9109,0.9508,0.00049,0.9293
C=C(Cl)CC,288,0.9107,0.9005,0.00069,0.9137
CCCC(=O)C(O)CCC,289,0.9107,0.9578,0.00064,0.9436
C=C(C)c1ccccc1,293,0.9106,0.9506,0.00055,0.9217
CC(C)C1CCC(=O)CC1,303,0.9099,0.9239,0.00069,0.949
C1=CCNC1,293,0.9097,0.9514,0.0006,0.9138
C=C(C)OC(C)=O,293,0.909,0.9535,0.00057,0.9358
CC(C)CCOCc1ccccc1,293,0.909,0.9365,0.00088,0.9609
CC1(C)CCCC(=O)C1,288,0.909,0.918,0.00065,0.9548
CCC#CCO,293,0.909,0.9515,0.00059,0.9117
C/C=C\c1ccccc1,293,0.9088,0.9508,0.00074,0.9457
CC(C)=CCC/C(C)=C/COC=O,298,0.9086,0.9391,0.00041,0.9478
CCCCC/C=C/C=C/C(=O)OC,295,0.9082,0.9553,0.00048,0.9219
CCCN=C=O,298,0.908,0.9137,0.00055,0.9129
CCN(C=O)CC,292,0.908,0.9215,0.00075,0.9606
C=Cc1ccccc1C,298,0.9077,0.9508,0.00039,0.9398
C=Cc1cccc(C)c1,298,0.9076,0.9357,0.00056,0.9493
CCCOC=O,293,0.9073,0.9249,0.00067,0.9689
CCCCN1CCOCC1,293,0.9068,0.924,0.00067,0.9919
C#CCCC(C)=O,293,0.9065,0.9308,0.00055,0.8958
C1=CC2C=CC1C2,293,0.9064,0.9707,0.00045,0.941
CCCC(=O)N(C)C,298,0.9064,0.9218,0.0005,0.9692
CC(C)OP(OC(C)C)OC(C)C,293,0.9063,0.9902,0.00091,0.8706
CCOCCOCCOCC,293,0.9063,0.9229,0.00074,0.991
C#CC(C)(C)Cl,293,0.9061,0.9521,0.00092,0.9058
C#C/C=C\OC,293,0.906,0.9765,0.00075,0.8975
CCc1cccc(CC)c1N,298,0.906,0.9706,0.00059,0.9196
Cc1ccc(C)c(C)c1C,293,0.9052,0.9363,0.00041,0.9919
CN1CCOCC1,293,0.9051,0.9565,0.0007,0.9952
CC(=O)OC/C=C(/C)CCC=C(C)C,288,0.905,0.9441,0.00089,0.9471
CC1CCCC(C)(C)C1=O,291,0.9043,0.9303,0.00052,0.9344
CCCC1(O)CCCC1,298,0.904,0.925,0.00092,0.9423
O=CC1CCCCC1,293,0.9035,0.9682,0.00088,0.9329
CCN=C=O,293,0.9031,0.9427,0.00073,0.9159
CC(C)OCCO,293,0.903,0.9132,0.00055,0.9847
C=CSC,293,0.9026,0.8537,0.00048,0.928
C/C=C/c1ccccc1,298,0.9023,0.939,0.00038,0.9457
C=C(C)C(=O)OCCC,293,0.9022,0.9361,0.00058,0.9976
CC1CC(C)(C)CCC1=O,293,0.902,0.9201,0.00036,0.9362
CC/C=C/c1ccccc1,293,0.9019,0.9337,0.00049,0.9435
CCc1ccco1,293,0.9018,0.9342,0.00056,0.9606
C=CCOC(=O)CCC,293,0.9017,0.9284,0.00048,0.9786
C=Cc1ccccc1CC,298,0.9017,0.9394,0.00041,0.9255
CC(C)=CCCc1ccoc1,293,0.9017,0.9464,0.00056,0.9191
C=Cc1ccccc1,298,0.9016,0.9463,0.00052,0.949
CCCCOCCO,293,0.9015,0.9084,0.00083,0.992
CCn1cccc1,293,0.9009,0.9149,0.00061,0.9618
C=CC1CO1,298,0.9006,0.9384,0.00088,0.8888
C=COC(=O)CCC,293,0.9006,0.9256,0.00046,0.983
CCCNCCO,293,0.9005,0.9032,0.00067,0.9887
CCOC(C)=O,293,0.9003,0.928,0.00064,0.9991
CC#CCCO,293,0.9002,0.9375,0.00059,0.9134
CC(C)=Cc1ccccc1,293,0.9,0.9393,0.00086,0.9305
CCCN(CCC)C(C)=O,290,0.8992,0.9172,0.00064,0.9577
CC(=O)C1CC1,293,0.8984,0.9254,0.00061,0.9424
CCCC(=O)OC,293,0.8984,0.9204,0.00074,0.999
CCC#CCCO,293,0.8982,0.9163,0.00079,0.9089
CCC(CC)c1ccccn1,293,0.8981,0.9287,0.00045,0.9053
C/C=C/C=C/C=O,293,0.898,0.9273,0.00054,0.9248
CCC/C=C\COC(C)=O,298,0.898,0.9325,0.00051,0.9719
CC(C)(C)OCC1CO1,293,0.898,0.9523,0.00082,0.884
COC(C)(C)CC(C)=O,298,0.898,0.9216,0.00064,0.9776
C=CC(C)Cl,293,0.8978,0.9338,0.00045,0.9369
CCC(=O)N(CC)CC,293,0.8972,0.9267,0.00056,0.9606
C1=C\C=C/CC\C=C/1,298,0.8971,0.8822,0.00059,0.9046
CCCCC(=O)N(C)C,298,0.8962,0.916,0.00066,0.969
CCCCOC=O,293,0.8958,0.9137,0.00062,0.9689
