#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
11200	0.02	0.010643684728551038	1451.830554185355
11250	0.02	0.008434241242169583	1150.455828882768
11300	0.02	0.010224507511928637	1394.6535232762835
11350	0.02	0.01175067428073085	1602.8272527917593
11400	0.02	0.010475117982793746	1428.8375439495708
11450	0.02	0.011951759433647409	1630.2558713992023
11500	0.02	0.01284034387085458	1751.4614565712645
11550	0.02	0.01853902577583224	2528.7787784604175
11600	0.02	0.01796899769984819	2451.025237411124
11650	0.02	0.018762617119825097	2559.2773091045497
11700	0.02	0.015976513093884204	2179.2443548072965
11750	0.02	0.017950278743397087	2448.471915548322
11800	0.02	0.015431468047335264	2104.8985739834357
11850	0.02	0.016994918817078087	2318.157953170839
11900	0.02	0.01870613200689841	2551.572570107199
11950	0.02	0.015553264889514338	2121.5120289465026
12000	0.02	0.008746756765122552	1193.083884528127
12050	0.02	0.00867450858615955	1183.229015995487
12100	0.02	0.007669524561946549	1046.1461776710175
12150	0.02	0.006675227511241625	910.5210746202331
12200	0.02	0.006712433799946276	915.5961241098479
12250	0.02	0.0030036338685595853	409.7046779545498
12300	0.02	0.0025084553473189407	342.1608409048632
12350	0.02	-5.1897524587182804e-05	-7.07897817380343
12400	0.02	-0.0015366514909562516	-209.60387709721974
12450	0.02	-0.008557183991853694	-1167.2255890700606
12500	0.02	-0.009862858557237614	-1345.323520020813
12550	0.02	-0.012143664319562396	-1656.43227402427
12600	0.02	-0.01555253644126973	-2121.4126664188034
12650	0.02	-0.016539999992925658	-2256.1056596820144
12700	0.02	-0.018595095450190988	-2536.4268503897656
12750	0.02	-0.015485444548373403	-2112.2611307871875
12800	0.02	-0.013836608935390909	-1887.3550026175305
12850	0.02	-0.01337504325620588	-1824.3960581453598
12900	0.02	-0.016659894104253944	-2272.4595764441656
12950	0.02	-0.017252389220504233	-2353.277689242108
13000	0.02	-0.014268392073765391	-1946.2515191023301
13050	0.02	-0.015161825950315278	-2068.1185823609744
13100	0.02	-0.015125353823175815	-2063.14367471314
13150	0.02	-0.016017557583821715	-2184.8429464691094
13200	0.02	-0.013014658820015273	-1775.2385390100087
13250	0.02	-0.010695322332555894	-1458.8740784113284
13300	0.02	-0.009858304006533838	-1344.7022656299732
13350	0.02	-0.008297937971090635	-1131.8636534628215
13400	0.02	-0.002791193375634545	-380.7271568760241
13450	0.02	0.0002978114709620324	40.62237880550446
13500	0.02	-0.0016534188484742997	-225.5312952517093
13550	0.02	0.0008060444738434915	109.94688634652444
13600	0.02	-0.0011285273900245821	-153.93452435487407
13650	0.02	-0.0016863390429011174	-230.02170861301175
13700	0.02	-0.0023287313083993105	-317.64594238243797
13750	0.02	-0.002128560803415282	-290.3420844991834
13800	0.02	0.0006640149535403464	90.57363333957764
13850	0.02	-0.003865281791690142	-527.2360417308232
13900	0.02	-0.0074603161026064535	-1017.6095156775215
13950	0.02	-0.01179978872039175	-1609.5266098255238
14000	0.02	-0.012437307782511732	-1696.486124022576
14050	0.02	-0.019076401529150973	-2602.0784446609514
14100	0.02	-0.018996155659485037	-2591.1326671037045
14150	0.02	-0.021701706216055747	-2960.1778863204977
14200	0.02	-0.02010086261754824	-2741.8180130192122
14250	0.02	-0.015824532668906193	-2158.51376852553
14300	0.02	-0.015487927231395042	-2112.59977620549
14350	0.02	-0.01392083608906268	-1898.8438392668086
14400	0.02	-0.01287229249253178	-1755.8193444924136
14450	0.02	-0.00915177189062149	-1248.3291636868814
14500	0.02	-0.010831141312738568	-1477.40019509896
14550	0.02	-0.011586790914354423	-1580.473069565173
14600	0.02	-0.011057294276482211	-1508.248138368254
14650	0.02	-0.010031484031751699	-1368.3245410353543
14700	0.02	-0.011890148934407326	-1621.85201431995
14750	0.02	-0.010733855655153817	-1464.130139308348
14800	0.02	-0.011803339873677706	-1610.010997795915
